DateKey,Full_Date,Week_Day,Month_Name,CalendarYear
20220618,6/18/2022,Saturday,June,2022
20220619,6/19/2022,Sunday,June,2022
20220620,6/20/2022,Monday,June,2022
20220621,6/21/2022,Tuesday,June,2022
20220622,6/22/2022,Wednesday,June,2022
20220623,6/23/2022,Thursday,June,2022
20220624,6/24/2022,Friday,June,2022
20220625,6/25/2022,Saturday,June,2022
20220626,6/26/2022,Sunday,June,2022
20220627,6/27/2022,Monday,June,2022
20220628,6/28/2022,Tuesday,June,2022
20220629,6/29/2022,Wednesday,June,2022
20220630,6/30/2022,Thursday,June,2022
20220701,07/01/2022,Friday,July,2022
20220702,07/02/2022,Saturday,July,2022
20220703,07/03/2022,Sunday,July,2022
20220704,07/04/2022,Monday,July,2022
20220705,07/05/2022,Tuesday,July,2022
20220706,07/06/2022,Wednesday,July,2022
20220707,07/07/2022,Thursday,July,2022
20220708,07/08/2022,Friday,July,2022
20220709,07/09/2022,Saturday,July,2022
20220710,07/10/2022,Sunday,July,2022
20220711,07/11/2022,Monday,July,2022
20220712,07/12/2022,Tuesday,July,2022
20220713,7/13/2022,Wednesday,July,2022
20220714,7/14/2022,Thursday,July,2022
20220715,7/15/2022,Friday,July,2022
20220716,7/16/2022,Saturday,July,2022
20220717,7/17/2022,Sunday,July,2022
20220718,7/18/2022,Monday,July,2022
20220719,7/19/2022,Tuesday,July,2022
20220720,7/20/2022,Wednesday,July,2022
20220721,7/21/2022,Thursday,July,2022
20220722,7/22/2022,Friday,July,2022
20220723,7/23/2022,Saturday,July,2022
20220724,7/24/2022,Sunday,July,2022
20220725,7/25/2022,Monday,July,2022
20220726,7/26/2022,Tuesday,July,2022
20220727,7/27/2022,Wednesday,July,2022
20220728,7/28/2022,Thursday,July,2022
20220729,7/29/2022,Friday,July,2022
20220730,7/30/2022,Saturday,July,2022
20220731,7/31/2022,Sunday,July,2022
20220801,08/01/2022,Monday,August,2022
20220802,08/02/2022,Tuesday,August,2022
20220803,08/03/2022,Wednesday,August,2022
20220804,08/04/2022,Thursday,August,2022
20220805,08/05/2022,Friday,August,2022
20220806,08/06/2022,Saturday,August,2022
20220807,08/07/2022,Sunday,August,2022
20220808,08/08/2022,Monday,August,2022
20220809,08/09/2022,Tuesday,August,2022
20220810,08/10/2022,Wednesday,August,2022
20220811,08/11/2022,Thursday,August,2022
20220812,08/12/2022,Friday,August,2022
20220813,8/13/2022,Saturday,August,2022
20220814,8/14/2022,Sunday,August,2022
20220815,8/15/2022,Monday,August,2022
20220816,8/16/2022,Tuesday,August,2022
20220817,8/17/2022,Wednesday,August,2022
20220818,8/18/2022,Thursday,August,2022
20220819,8/19/2022,Friday,August,2022
20220820,8/20/2022,Saturday,August,2022
20220821,8/21/2022,Sunday,August,2022
20220822,8/22/2022,Monday,August,2022
20220823,8/23/2022,Tuesday,August,2022
20220824,8/24/2022,Wednesday,August,2022
20220825,8/25/2022,Thursday,August,2022
20220826,8/26/2022,Friday,August,2022
20220827,8/27/2022,Saturday,August,2022
20220828,8/28/2022,Sunday,August,2022
20220829,8/29/2022,Monday,August,2022
20220830,8/30/2022,Tuesday,August,2022
20220831,8/31/2022,Wednesday,August,2022
20220901,09/01/2022,Thursday,September,2022
20220902,09/02/2022,Friday,September,2022
20220903,09/03/2022,Saturday,September,2022
20220904,09/04/2022,Sunday,September,2022
20220905,09/05/2022,Monday,September,2022
20220906,09/06/2022,Tuesday,September,2022
20220907,09/07/2022,Wednesday,September,2022
20220908,09/08/2022,Thursday,September,2022
20220909,09/09/2022,Friday,September,2022
20220910,09/10/2022,Saturday,September,2022
20220911,09/11/2022,Sunday,September,2022
20220912,09/12/2022,Monday,September,2022
20220913,9/13/2022,Tuesday,September,2022
20220914,9/14/2022,Wednesday,September,2022
20220915,9/15/2022,Thursday,September,2022
20220916,9/16/2022,Friday,September,2022
20220917,9/17/2022,Saturday,September,2022
20220918,9/18/2022,Sunday,September,2022
20220919,9/19/2022,Monday,September,2022
20220920,9/20/2022,Tuesday,September,2022
20220921,9/21/2022,Wednesday,September,2022
20220922,9/22/2022,Thursday,September,2022
20220923,9/23/2022,Friday,September,2022
20220924,9/24/2022,Saturday,September,2022
20220925,9/25/2022,Sunday,September,2022
20220926,9/26/2022,Monday,September,2022
20220927,9/27/2022,Tuesday,September,2022
20220928,9/28/2022,Wednesday,September,2022
20220929,9/29/2022,Thursday,September,2022
20220930,9/30/2022,Friday,September,2022
20221001,10/01/2022,Saturday,October,2022
20221002,10/02/2022,Sunday,October,2022
20221003,10/03/2022,Monday,October,2022
20221004,10/04/2022,Tuesday,October,2022
20221005,10/05/2022,Wednesday,October,2022
20221006,10/06/2022,Thursday,October,2022
20221007,10/07/2022,Friday,October,2022
20221008,10/08/2022,Saturday,October,2022
20221009,10/09/2022,Sunday,October,2022
20221010,10/10/2022,Monday,October,2022
20221011,10/11/2022,Tuesday,October,2022
20221012,10/12/2022,Wednesday,October,2022
20221013,10/13/2022,Thursday,October,2022
20221014,10/14/2022,Friday,October,2022
20221015,10/15/2022,Saturday,October,2022
20221016,10/16/2022,Sunday,October,2022
20221017,10/17/2022,Monday,October,2022
20221018,10/18/2022,Tuesday,October,2022
20221019,10/19/2022,Wednesday,October,2022
20221020,10/20/2022,Thursday,October,2022
20221021,10/21/2022,Friday,October,2022
20221022,10/22/2022,Saturday,October,2022
20221023,10/23/2022,Sunday,October,2022
20221024,10/24/2022,Monday,October,2022
20221025,10/25/2022,Tuesday,October,2022
20221026,10/26/2022,Wednesday,October,2022
20221027,10/27/2022,Thursday,October,2022
20221028,10/28/2022,Friday,October,2022
20221029,10/29/2022,Saturday,October,2022
20221030,10/30/2022,Sunday,October,2022
20221031,10/31/2022,Monday,October,2022
20221101,11/01/2022,Tuesday,November,2022
20221102,11/02/2022,Wednesday,November,2022
20221103,11/03/2022,Thursday,November,2022
20221104,11/04/2022,Friday,November,2022
20221105,11/05/2022,Saturday,November,2022
20221106,11/06/2022,Sunday,November,2022
20221107,11/07/2022,Monday,November,2022
20221108,11/08/2022,Tuesday,November,2022
20221109,11/09/2022,Wednesday,November,2022
20221110,11/10/2022,Thursday,November,2022
20221111,11/11/2022,Friday,November,2022
20221112,11/12/2022,Saturday,November,2022
20221113,11/13/2022,Sunday,November,2022
20221114,11/14/2022,Monday,November,2022
20221115,11/15/2022,Tuesday,November,2022
20221116,11/16/2022,Wednesday,November,2022
20221117,11/17/2022,Thursday,November,2022
20221118,11/18/2022,Friday,November,2022
20221119,11/19/2022,Saturday,November,2022
20221120,11/20/2022,Sunday,November,2022
20221121,11/21/2022,Monday,November,2022
20221122,11/22/2022,Tuesday,November,2022
20221123,11/23/2022,Wednesday,November,2022
20221124,11/24/2022,Thursday,November,2022
20221125,11/25/2022,Friday,November,2022
20221126,11/26/2022,Saturday,November,2022
20221127,11/27/2022,Sunday,November,2022
20221128,11/28/2022,Monday,November,2022
20221129,11/29/2022,Tuesday,November,2022
20221130,11/30/2022,Wednesday,November,2022
20221201,12/01/2022,Thursday,December,2022
20221202,12/02/2022,Friday,December,2022
20221203,12/03/2022,Saturday,December,2022
20221204,12/04/2022,Sunday,December,2022
20221205,12/05/2022,Monday,December,2022
20221206,12/06/2022,Tuesday,December,2022
20221207,12/07/2022,Wednesday,December,2022
20221208,12/08/2022,Thursday,December,2022
20221209,12/09/2022,Friday,December,2022
20221210,12/10/2022,Saturday,December,2022
20221211,12/11/2022,Sunday,December,2022
20221212,12/12/2022,Monday,December,2022
20221213,12/13/2022,Tuesday,December,2022
20221214,12/14/2022,Wednesday,December,2022
20221215,12/15/2022,Thursday,December,2022
20221216,12/16/2022,Friday,December,2022
20221217,12/17/2022,Saturday,December,2022
20221218,12/18/2022,Sunday,December,2022
20221219,12/19/2022,Monday,December,2022
20221220,12/20/2022,Tuesday,December,2022
20221221,12/21/2022,Wednesday,December,2022
20221222,12/22/2022,Thursday,December,2022
20221223,12/23/2022,Friday,December,2022
20221224,12/24/2022,Saturday,December,2022
20221225,12/25/2022,Sunday,December,2022
20221226,12/26/2022,Monday,December,2022
20221227,12/27/2022,Tuesday,December,2022
20221228,12/28/2022,Wednesday,December,2022
20221229,12/29/2022,Thursday,December,2022
20221230,12/30/2022,Friday,December,2022
20221231,12/31/2022,Saturday,December,2022
20230101,01/01/2023,Sunday,January,2023
20230102,01/02/2023,Monday,January,2023
20230103,01/03/2023,Tuesday,January,2023
20230104,01/04/2023,Wednesday,January,2023
20230105,01/05/2023,Thursday,January,2023
20230106,01/06/2023,Friday,January,2023
20230107,01/07/2023,Saturday,January,2023
20230108,01/08/2023,Sunday,January,2023
20230109,01/09/2023,Monday,January,2023
20230110,01/10/2023,Tuesday,January,2023
20230111,01/11/2023,Wednesday,January,2023
20230112,01/12/2023,Thursday,January,2023
20230113,1/13/2023,Friday,January,2023
20230114,1/14/2023,Saturday,January,2023
20230115,1/15/2023,Sunday,January,2023
20230116,1/16/2023,Monday,January,2023
20230117,1/17/2023,Tuesday,January,2023
20230118,1/18/2023,Wednesday,January,2023
20230119,1/19/2023,Thursday,January,2023
20230120,1/20/2023,Friday,January,2023
20230121,1/21/2023,Saturday,January,2023
20230122,1/22/2023,Sunday,January,2023
20230123,1/23/2023,Monday,January,2023
20230124,1/24/2023,Tuesday,January,2023
20230125,1/25/2023,Wednesday,January,2023
20230126,1/26/2023,Thursday,January,2023
20230127,1/27/2023,Friday,January,2023
20230128,1/28/2023,Saturday,January,2023
20230129,1/29/2023,Sunday,January,2023
20230130,1/30/2023,Monday,January,2023
20230131,1/31/2023,Tuesday,January,2023
20230201,02/01/2023,Wednesday,February,2023
20230202,02/02/2023,Thursday,February,2023
20230203,02/03/2023,Friday,February,2023
20230204,02/04/2023,Saturday,February,2023
20230205,02/05/2023,Sunday,February,2023
20230206,02/06/2023,Monday,February,2023
20230207,02/07/2023,Tuesday,February,2023
20230208,02/08/2023,Wednesday,February,2023
20230209,02/09/2023,Thursday,February,2023
20230210,02/10/2023,Friday,February,2023
20230211,02/11/2023,Saturday,February,2023
20230212,02/12/2023,Sunday,February,2023
20230213,2/13/2023,Monday,February,2023
20230214,2/14/2023,Tuesday,February,2023
20230215,2/15/2023,Wednesday,February,2023
20230216,2/16/2023,Thursday,February,2023
20230217,2/17/2023,Friday,February,2023
20230218,2/18/2023,Saturday,February,2023
20230219,2/19/2023,Sunday,February,2023
20230220,2/20/2023,Monday,February,2023
20230221,2/21/2023,Tuesday,February,2023
20230222,2/22/2023,Wednesday,February,2023
20230223,2/23/2023,Thursday,February,2023
20230224,2/24/2023,Friday,February,2023
20230225,2/25/2023,Saturday,February,2023
20230226,2/26/2023,Sunday,February,2023
20230227,2/27/2023,Monday,February,2023
20230228,2/28/2023,Tuesday,February,2023
20230301,03/01/2023,Wednesday,March,2023
20230302,03/02/2023,Thursday,March,2023
20230303,03/03/2023,Friday,March,2023
20230304,03/04/2023,Saturday,March,2023
20230305,03/05/2023,Sunday,March,2023
20230306,03/06/2023,Monday,March,2023
20230307,03/07/2023,Tuesday,March,2023
20230308,03/08/2023,Wednesday,March,2023
20230309,03/09/2023,Thursday,March,2023
20230310,03/10/2023,Friday,March,2023
20230311,03/11/2023,Saturday,March,2023
20230312,03/12/2023,Sunday,March,2023
20230313,3/13/2023,Monday,March,2023
20230314,3/14/2023,Tuesday,March,2023
20230315,3/15/2023,Wednesday,March,2023
20230316,3/16/2023,Thursday,March,2023
20230317,3/17/2023,Friday,March,2023
20230318,3/18/2023,Saturday,March,2023
20230319,3/19/2023,Sunday,March,2023
20230320,3/20/2023,Monday,March,2023
20230321,3/21/2023,Tuesday,March,2023
20230322,3/22/2023,Wednesday,March,2023
20230323,3/23/2023,Thursday,March,2023
20230324,3/24/2023,Friday,March,2023
20230325,3/25/2023,Saturday,March,2023
20230326,3/26/2023,Sunday,March,2023
20230327,3/27/2023,Monday,March,2023
20230328,3/28/2023,Tuesday,March,2023
20230329,3/29/2023,Wednesday,March,2023
20230330,3/30/2023,Thursday,March,2023
20230331,3/31/2023,Friday,March,2023
20230401,04/01/2023,Saturday,April,2023
20230402,04/02/2023,Sunday,April,2023
20230403,04/03/2023,Monday,April,2023
20230404,04/04/2023,Tuesday,April,2023
20230405,04/05/2023,Wednesday,April,2023
20230406,04/06/2023,Thursday,April,2023
20230407,04/07/2023,Friday,April,2023
20230408,04/08/2023,Saturday,April,2023
20230409,04/09/2023,Sunday,April,2023
20230410,04/10/2023,Monday,April,2023
20230411,04/11/2023,Tuesday,April,2023
20230412,04/12/2023,Wednesday,April,2023
20230413,4/13/2023,Thursday,April,2023
20230414,4/14/2023,Friday,April,2023
20230415,4/15/2023,Saturday,April,2023
20230416,4/16/2023,Sunday,April,2023
20230417,4/17/2023,Monday,April,2023
20230418,4/18/2023,Tuesday,April,2023
20230419,4/19/2023,Wednesday,April,2023
20230420,4/20/2023,Thursday,April,2023
20230421,4/21/2023,Friday,April,2023
20230422,4/22/2023,Saturday,April,2023
20230423,4/23/2023,Sunday,April,2023
20230424,4/24/2023,Monday,April,2023
20230425,4/25/2023,Tuesday,April,2023
20230426,4/26/2023,Wednesday,April,2023
20230427,4/27/2023,Thursday,April,2023
20230428,4/28/2023,Friday,April,2023
20230429,4/29/2023,Saturday,April,2023
20230430,4/30/2023,Sunday,April,2023
20230501,05/01/2023,Monday,May,2023
20230502,05/02/2023,Tuesday,May,2023
20230503,05/03/2023,Wednesday,May,2023
20230504,05/04/2023,Thursday,May,2023
20230505,05/05/2023,Friday,May,2023
20230506,05/06/2023,Saturday,May,2023
20230507,05/07/2023,Sunday,May,2023
20230508,05/08/2023,Monday,May,2023
20230509,05/09/2023,Tuesday,May,2023
20230510,05/10/2023,Wednesday,May,2023
20230511,05/11/2023,Thursday,May,2023
20230512,05/12/2023,Friday,May,2023
20230513,5/13/2023,Saturday,May,2023
20230514,5/14/2023,Sunday,May,2023
20230515,5/15/2023,Monday,May,2023
20230516,5/16/2023,Tuesday,May,2023
20230517,5/17/2023,Wednesday,May,2023
20230518,5/18/2023,Thursday,May,2023
20230519,5/19/2023,Friday,May,2023
20230520,5/20/2023,Saturday,May,2023
20230521,5/21/2023,Sunday,May,2023
20230522,5/22/2023,Monday,May,2023
20230523,5/23/2023,Tuesday,May,2023
20230524,5/24/2023,Wednesday,May,2023
20230525,5/25/2023,Thursday,May,2023
20230526,5/26/2023,Friday,May,2023
20230527,5/27/2023,Saturday,May,2023
20230528,5/28/2023,Sunday,May,2023
20230529,5/29/2023,Monday,May,2023
20230530,5/30/2023,Tuesday,May,2023
20230531,5/31/2023,Wednesday,May,2023
20230601,06/01/2023,Thursday,June,2023
20230602,06/02/2023,Friday,June,2023
20230603,06/03/2023,Saturday,June,2023
20230604,06/04/2023,Sunday,June,2023
20230605,06/05/2023,Monday,June,2023
20230606,06/06/2023,Tuesday,June,2023
20230607,06/07/2023,Wednesday,June,2023
20230608,06/08/2023,Thursday,June,2023
20230609,06/09/2023,Friday,June,2023
20230610,06/10/2023,Saturday,June,2023
20230611,06/11/2023,Sunday,June,2023
20230612,06/12/2023,Monday,June,2023
20230613,6/13/2023,Tuesday,June,2023
20230614,6/14/2023,Wednesday,June,2023
20230615,6/15/2023,Thursday,June,2023
20230616,6/16/2023,Friday,June,2023
20230617,6/17/2023,Saturday,June,2023
20230618,6/18/2023,Sunday,June,2023
20230619,6/19/2023,Monday,June,2023
20230620,6/20/2023,Tuesday,June,2023
20230621,6/21/2023,Wednesday,June,2023
20230622,6/22/2023,Thursday,June,2023
20230623,6/23/2023,Friday,June,2023
20230624,6/24/2023,Saturday,June,2023
20230625,6/25/2023,Sunday,June,2023
20230626,6/26/2023,Monday,June,2023
20230627,6/27/2023,Tuesday,June,2023
20230628,6/28/2023,Wednesday,June,2023
20230629,6/29/2023,Thursday,June,2023
20230630,6/30/2023,Friday,June,2023
20230701,07/01/2023,Saturday,July,2023
20230702,07/02/2023,Sunday,July,2023
20230703,07/03/2023,Monday,July,2023
20230704,07/04/2023,Tuesday,July,2023
20230705,07/05/2023,Wednesday,July,2023
20230706,07/06/2023,Thursday,July,2023
20230707,07/07/2023,Friday,July,2023
20230708,07/08/2023,Saturday,July,2023
20230709,07/09/2023,Sunday,July,2023
20230710,07/10/2023,Monday,July,2023
20230711,07/11/2023,Tuesday,July,2023
20230712,07/12/2023,Wednesday,July,2023
20230713,7/13/2023,Thursday,July,2023
20230714,7/14/2023,Friday,July,2023
20230715,7/15/2023,Saturday,July,2023
20230716,7/16/2023,Sunday,July,2023
20230717,7/17/2023,Monday,July,2023
20230718,7/18/2023,Tuesday,July,2023
20230719,7/19/2023,Wednesday,July,2023
20230720,7/20/2023,Thursday,July,2023
20230721,7/21/2023,Friday,July,2023
20230722,7/22/2023,Saturday,July,2023
20230723,7/23/2023,Sunday,July,2023
20230724,7/24/2023,Monday,July,2023
20230725,7/25/2023,Tuesday,July,2023
20230726,7/26/2023,Wednesday,July,2023
20230727,7/27/2023,Thursday,July,2023
20230728,7/28/2023,Friday,July,2023
20230729,7/29/2023,Saturday,July,2023
20230730,7/30/2023,Sunday,July,2023
20230731,7/31/2023,Monday,July,2023
20230801,08/01/2023,Tuesday,August,2023
20230802,08/02/2023,Wednesday,August,2023
20230803,08/03/2023,Thursday,August,2023
20230804,08/04/2023,Friday,August,2023
20230805,08/05/2023,Saturday,August,2023
20230806,08/06/2023,Sunday,August,2023
20230807,08/07/2023,Monday,August,2023
20230808,08/08/2023,Tuesday,August,2023
20230809,08/09/2023,Wednesday,August,2023
20230810,08/10/2023,Thursday,August,2023
20230811,08/11/2023,Friday,August,2023
20230812,08/12/2023,Saturday,August,2023
20230813,8/13/2023,Sunday,August,2023
20230814,8/14/2023,Monday,August,2023
20230815,8/15/2023,Tuesday,August,2023
20230816,8/16/2023,Wednesday,August,2023
20230817,8/17/2023,Thursday,August,2023
20230818,8/18/2023,Friday,August,2023
20230819,8/19/2023,Saturday,August,2023
20230820,8/20/2023,Sunday,August,2023
20230821,8/21/2023,Monday,August,2023
20230822,8/22/2023,Tuesday,August,2023
20230823,8/23/2023,Wednesday,August,2023
20230824,8/24/2023,Thursday,August,2023
20230825,8/25/2023,Friday,August,2023
20230826,8/26/2023,Saturday,August,2023
20230827,8/27/2023,Sunday,August,2023
20230828,8/28/2023,Monday,August,2023
20230829,8/29/2023,Tuesday,August,2023
20230830,8/30/2023,Wednesday,August,2023
20230831,8/31/2023,Thursday,August,2023
20230901,09/01/2023,Friday,September,2023
20230902,09/02/2023,Saturday,September,2023
20230903,09/03/2023,Sunday,September,2023
20230904,09/04/2023,Monday,September,2023
20230905,09/05/2023,Tuesday,September,2023
20230906,09/06/2023,Wednesday,September,2023
20230907,09/07/2023,Thursday,September,2023
20230908,09/08/2023,Friday,September,2023
20230909,09/09/2023,Saturday,September,2023
20230910,09/10/2023,Sunday,September,2023
20230911,09/11/2023,Monday,September,2023
20230912,09/12/2023,Tuesday,September,2023
20230913,9/13/2023,Wednesday,September,2023
20230914,9/14/2023,Thursday,September,2023
20230915,9/15/2023,Friday,September,2023
20230916,9/16/2023,Saturday,September,2023
20230917,9/17/2023,Sunday,September,2023
20230918,9/18/2023,Monday,September,2023
20230919,9/19/2023,Tuesday,September,2023
20230920,9/20/2023,Wednesday,September,2023
20230921,9/21/2023,Thursday,September,2023
20230922,9/22/2023,Friday,September,2023
20230923,9/23/2023,Saturday,September,2023
20230924,9/24/2023,Sunday,September,2023
20230925,9/25/2023,Monday,September,2023
20230926,9/26/2023,Tuesday,September,2023
20230927,9/27/2023,Wednesday,September,2023
20230928,9/28/2023,Thursday,September,2023
20230929,9/29/2023,Friday,September,2023
20230930,9/30/2023,Saturday,September,2023
20231001,10/01/2023,Sunday,October,2023
20231002,10/02/2023,Monday,October,2023
20231003,10/03/2023,Tuesday,October,2023
20231004,10/04/2023,Wednesday,October,2023
20231005,10/05/2023,Thursday,October,2023
20231006,10/06/2023,Friday,October,2023
20231007,10/07/2023,Saturday,October,2023
20231008,10/08/2023,Sunday,October,2023
20231009,10/09/2023,Monday,October,2023
20231010,10/10/2023,Tuesday,October,2023
20231011,10/11/2023,Wednesday,October,2023
20231012,10/12/2023,Thursday,October,2023
20231013,10/13/2023,Friday,October,2023
20231014,10/14/2023,Saturday,October,2023
20231015,10/15/2023,Sunday,October,2023
20231016,10/16/2023,Monday,October,2023
20231017,10/17/2023,Tuesday,October,2023
20231018,10/18/2023,Wednesday,October,2023
20231019,10/19/2023,Thursday,October,2023
20231020,10/20/2023,Friday,October,2023
20231021,10/21/2023,Saturday,October,2023
20231022,10/22/2023,Sunday,October,2023
20231023,10/23/2023,Monday,October,2023
20231024,10/24/2023,Tuesday,October,2023
20231025,10/25/2023,Wednesday,October,2023
